source,target,pct,value_idr
UOB KAY HIAN PRIVATE LIMITED,BPII,4.94,225501183600.0
"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",BPTR,67.4,185793564294.0
PT. Victoria Investama Tbk,BPTR,10.48,28876551600.0
ENDANG LESTARI PUJIASTUTI,BRAM,16.57,335572290000.0
IEVAN DANIAR SUMAMPOW,BRAM,4.86,98388436500.0
EMPLOYEES PROVIDENT FUND BOARD,BRIS,1.25,1213869707000.0
GLAS TRUST (SINGAPORE) LTD.,BRMS,7.61,7872763702030.0
CGS INTERNATIONAL SEKURITAS INDONESIA,BRMS,5.25,5431046657660.0
PETROMINE ENERGY TRADING,BRMS,4.28,4429560704480.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,BRMS,3.91,4043205156000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,BRMS,3.77,3906531216250.0
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,BRMS,3.24,3350097858040.0
CGS INTERNATIONAL SECURITIES HONG KONG LIMITED,BRMS,1.47,1516721000000.0
MAYBANK SECURITIES PTE. LTD.,BRMS,1.31,1350849816000.0
PT. INDOLIFE PENSIONTAMA,BRMS,1.06,1101850144800.0
BANGKOK BANK PUBLIC COMPANY LIMITED,BRPT,4.99,6388385975790.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,BSDE,2.7,423375756000.0
GOVERNMENT OF NORWAY,BSDE,1.33,207640892000.0
PT TASPEN (PERSERO),BSDE,1.09,170425034000.0
PT SINAR MAS MULTIARTHA Tbk,BSIM,59.99,10585033972000.0
UBS AG SINGAPORE BRANCH,BSIM,3.03,534498215450.0
PT NUSANTARA INDAH CEMERLANG,BSIM,2.3,405233293850.0
DIAN CIPTAMAS AGUNG PT,BSIM,2.21,390577359180.0
CASCADEN INVESTMENT LIMITED,BSIM,1.73,306036003755.0
SINAR MAS CAKRAWALA,BSIM,1.03,181506000000.0
UOB KAY HIAN PRIVATE LIMITED,BSML,1.86,11689200000.0
DMS INVESTAMA PT,BSML,1.85,11643266000.0
BARCLAYS CAPITAL SECURITIES LIMITED,BSML,1.04,6565468000.0
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,BTEK,9.85,68362908870.0
UBS SWITZERLAND AG,BTEK,3.86,26766073320.0
REKSA DANA EMCO MANTAP,BTEK,2.56,17770701000.0
REKSA DANA POOL ADVISTA KAPITAL OPTIMAL,BTEK,2.07,14364559500.0
Reksa Dana Pan Arcadia Dana Saham Bertumbuh,BTEK,1.93,13363395000.0
REKSA DANA EMCO GROWTH FUND,BTEK,1.85,12808506000.0
REKSA DANA SYARIAH TREASURE SAHAM BERKAH SYARIAH,BTEK,1.25,8656815000.0
PT BIOFUEL INDO SUMATRA,BTEL,8.54,157252500000.0
"UBS AG, LONDON",BTEL,3.51,64678073500.0
JAKSA AGUNG MUDA BIDANG TINDAK PIDANA KHUSUS KEJAKSAAN REPUBLIK INDONESIA KEJAKSAAN REPUBLIK INDONESIA,BTEL,3.36,61771061550.0
PT. ASURANSI JIWA IFG,BTEL,3.15,57942946150.0
PT MINNA PADI INVESTAMA SEKURITAS Tbk,BTEL,2.36,43444875000.0
REKSA DANA OSO FLORES EQUITY FUND,BTEL,1.36,25050000000.0
