investor,stock,company,sector,pct,shares,value_idr,type,lf
INFINITUDE GLOBAL FUND VCC,ALII,ANCARA LOGISTICS INDONESIA Tbk,TRANSPORTATION,1.5,237044450,158819781500.0,Corporation,Foreign
"GESIT PERKASA, PT",ALKA,ALAKASA INDUSTRINDO Tbk,INVESTMENT COMPANY,83.79,425393555,246728261900.0,Corporation,Local
PT. SELARAS INVESTAMA GLOBALINDO,ALKA,ALAKASA INDUSTRINDO Tbk,INVESTMENT COMPANY,2.83,14369250,8334165000.0,Corporation,Local
ANDREW PASCALIS ADJIPUTRO,ALKA,ALAKASA INDUSTRINDO Tbk,INVESTMENT COMPANY,2.46,12500000,7250000000.0,Individual,Local
AGNESRI MAHARLYN FIRANI PUTRI,ALKA,ALAKASA INDUSTRINDO Tbk,INVESTMENT COMPANY,2.46,12500000,7250000000.0,Individual,Local
PT SANTINILESTARI LOKAPRIMA,ALKA,ALAKASA INDUSTRINDO Tbk,INVESTMENT COMPANY,1.6,8142750,4722795000.0,Corporation,Local
PT HUSIN INVESTAMA,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,METAL AND ALLIED PRODUCTS,65.78,2509983942,185738811708.0,Corporation,Local
PT ALIM INVESTINDO,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,METAL AND ALLIED PRODUCTS,15.72,600020374,44401507676.0,Corporation,Local
PT GUNA INVESTINDO,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,METAL AND ALLIED PRODUCTS,8.65,330080000,24425920000.0,Corporation,Local
MARINDO INVESTAMA PT,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,METAL AND ALLIED PRODUCTS,2.45,93459476,6916001224.0,Corporation,Local
PRAKINDO INVESTAMA PT,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,METAL AND ALLIED PRODUCTS,1.01,38438704,2844464096.0,Unknown,Foreign
PT. FIKASA BINTANG CEMERLANG,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,36.44,798633308,14375399544.0,Corporation,Local
PT. TIRTAMAS ANGGADA,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,16.25,356130919,6410356542.0,Corporation,Local
PT TRIMEGAH SEKURITAS INDONESIA TBK,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,9.62,210832443,3794983974.0,Securities Co,Local
PERSERO DANAREKSA PT a/c SPECIAL,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,6.82,149437339,2689872102.0,Corporation,Local
IRENE THESMAN,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,4.96,108790006,1958220108.0,Individual,Local
LIONG JUEN FAT,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,3.37,73914500,1330461000.0,Individual,Local
IR. BUDIJANTO SETIAWAN,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,3.22,70615500,1271079000.0,Individual,Local
DRS JOSEPH SUSILO,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,2.17,47605800,856904400.0,Individual,Local
BHAKTI SALIM,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,2.14,46900000,844200000.0,Individual,Local
ANTONIUS ANDI SUSANTO,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,2.04,44805150,806492700.0,Individual,Local
SOEGIANTO,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,1.71,37462600,674326800.0,Individual,Local
PT.TUDUNG BERSAMA TIRTA,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,1.4,30670000,552060000.0,Corporation,Local
IR. D. SAHARDONO AMIARSO,ALTO,TRI BANYAN TIRTA Tbk,FOOD & BEVERAGES,1.14,25000000,450000000.0,Individual,Local
FAIRFAX ASIA LIMITED,AMAG,ASURANSI MULTI ARTHA GUNA Tbk,INSURANCE,80.0,4001242013,1760546485720.0,Corporation,Foreign
"BANK PAN INDONESIA TBK, PT",AMAG,ASURANSI MULTI ARTHA GUNA Tbk,INSURANCE,7.76,388000000,170720000000.0,Insurance/Pension,Local
DANA PENSIUN KARYAWAN PANIN BANK,AMAG,ASURANSI MULTI ARTHA GUNA Tbk,INSURANCE,4.2,210019533,92408594520.0,Pension Fund,Local
"PANINVEST TBK, PT",AMAG,ASURANSI MULTI ARTHA GUNA Tbk,INSURANCE,3.76,188233921,82822925240.0,Corporation,Local
PT Asuransi Multi Artha Guna,AMAG,ASURANSI MULTI ARTHA GUNA Tbk,INSURANCE,1.12,55806100,24554684000.0,Insurance,Local
PT GRIYA PRIMA AMANDA (GPA),AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,81.54,3158500000,0,Unknown,Foreign
JOHAN TEDJA SURYA,AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,4.53,175534400,0,Individual,Local
EDWARD SAMULA TOARI,AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,4.13,160020000,0,Individual,Local
SIAUW JENNICE MARIA,AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,2.95,114335000,0,Individual,Local
F. IRENE FANCY,AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,2.43,94073000,0,Individual,Local
ANDIERSEN,AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,1.37,53127300,0,Individual,Local
EDDI TJENDANA,AMAN,MAKMUR BERKAH AMANDA Tbk,Unknown,1.13,43933000,0,Individual,Local
